object_id,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,name,county,Longitude,Latitude,pred_absolute,pred_percent,pred_party
2688,717,99,51,10,465,21,4,34,10,5,2,0,1,2,2,5,Stoilești,Vâlcea,24.3618603,44.9149284,717,50.21,g1
2689,304,78,31,2,260,181,7,122,4,0,6,5,2,1,7,3,Stoina,Gorj,23.6334095,44.679168700000005,304,30.01,g1
2690,571,111,80,14,495,134,14,99,6,9,14,8,6,23,11,29,Stolniceni-Prăjescu,Iași,26.7446957,47.187465700000004,571,35.16,g1
2691,523,98,76,4,189,28,5,58,4,3,7,5,1,10,10,3,Stolnici,Argeș,24.7798424,44.5793266,523,51.07,g1
2692,749,53,35,7,343,18,6,24,6,4,4,2,3,4,2,16,Ștorobăneasa,Teleorman,25.5042801,43.8740158,749,58.7,g1
2693,299,90,37,2,953,10,14,124,1,5,2,5,0,8,83,58,Straja,Suceava,25.5270615,47.9079247,953,56.36,g5
2694,556,99,81,10,467,24,11,37,7,7,4,5,3,8,15,9,Străoane,Vrancea,27.003004100000002,45.9639931,556,41.4,g1
2695,2121,255,351,15,930,269,26,91,22,12,11,9,5,12,9,27,Strehaia,Mehedinți,23.1912785,44.628231,2121,50.92,g1
2696,928,101,51,8,285,39,4,48,4,5,7,6,1,0,2,1,Strejești,Olt,24.253248199999998,44.5279961,928,62.28,g1
2697,340,142,40,10,506,20,5,27,3,5,2,2,1,6,7,3,Stremț,Alba,23.589159,46.2726898,506,45.22,g5
2698,302,97,48,6,415,25,12,72,12,6,2,6,2,5,4,9,Strîmtura,Maramureș,24.1219215,47.75877,415,40.57,g5
2699,335,147,74,23,256,121,3,59,7,4,2,2,2,6,3,0,Stroești,Vâlcea,23.9269753,45.0734177,335,32.09,g1
2700,538,103,53,3,358,62,8,41,2,7,5,4,4,11,4,13,Stroiești,Suceava,26.1323299,47.612613700000004,538,44.24,g1
2701,372,64,57,20,239,29,3,35,6,1,1,3,2,3,2,3,Strugari,Bacău,26.745737100000003,46.5331154,372,44.29,g1
2702,422,87,57,17,317,30,16,49,17,4,11,8,4,22,11,7,Strunga,Iași,26.9455891,47.159378100000005,422,39.11,g1
2703,251,44,32,5,962,73,0,31,2,3,1,6,1,3,8,2,Studina,Olt,24.4408207,43.9643745,962,67.56,g5
2704,871,113,146,13,588,52,15,119,9,11,4,3,3,15,8,4,Stulpicani,Suceava,25.6737423,47.440731,871,44.12,g1
2705,74,56,22,511,150,12,4,11,3,1,2,3,1,0,3,1,Suatu,Cluj,23.966375399999997,46.755241399999996,511,59.84,g4
2706,82,84,30,10,167,6,3,25,2,4,0,3,0,6,4,1,Subcetate,Harghita,25.3843002,46.8581619,167,39.11,g5
2707,8125,10989,3558,162,11229,1867,424,4324,171,125,302,279,203,1298,788,1614,Suceava,Suceava,26.2649479,47.669918100000004,11229,24.7,g5
2708,396,52,46,5,223,20,4,36,6,6,5,3,2,10,11,8,Suceveni,Galați,28.0347652,45.981449100000006,396,47.54,g1
2709,282,120,48,10,478,26,11,57,4,3,5,1,2,16,11,50,Sucevița,Suceava,25.6862831,47.7730255,478,42.53,g5
2710,642,194,38,9,324,25,1,37,4,4,5,3,5,2,8,16,Suciu de Sus,Maramureș,24.0309811,47.426033000000004,642,48.75,g1
2711,278,95,59,14,118,70,14,27,9,3,4,3,3,0,7,4,Sudiți,Ialomița,27.5919266,44.538597100000004,278,39.27,g1
2712,105,236,28,7,1005,30,6,79,2,1,0,4,2,3,12,9,Șugag,Alba,23.5952206,45.6245461,1005,65.73,g5
2713,292,88,23,0,528,32,7,28,1,4,1,1,1,3,1,3,Suhaia,Teleorman,25.2487812,43.7391434,528,52.12,g5
2714,581,102,77,8,306,55,21,40,13,6,17,12,1,19,7,20,Suharău,Botoșani,26.4251652,48.1314735,581,45.21,g1
2715,135,35,29,11,220,69,3,10,7,2,0,1,2,2,4,7,Suhurlui,Galați,27.820652000000003,45.738407099999996,220,40.97,g5
2716,355,75,137,12,291,33,10,69,2,5,9,4,0,7,6,2,Șuici,Argeș,24.5388088,45.2460518,355,34.91,g1
2717,131,116,16,8,151,375,0,9,2,2,2,3,1,2,1,2,Șuletea,Vaslui,27.919984799999998,46.300529499999996,375,45.68,g6
2718,355,395,128,72,345,71,17,233,16,8,12,14,6,26,35,16,Sulina,Tulcea,29.5473995,45.133686100000006,395,22.58,g2
2719,258,74,171,5,238,21,18,48,8,2,1,19,0,16,8,1,Sulița,Botoșani,26.928989399999995,47.6488342,258,29.05,g1
2720,251,85,74,43,711,52,7,26,9,3,3,1,2,7,10,64,Șuncuiuș,Bihor,22.5138054,46.9118805,711,52.74,g5
2721,157,40,26,422,196,8,8,9,3,3,3,3,1,2,3,12,Suplac,Mureș,24.502681699999997,46.3982964,422,47.1,g4
2722,184,191,41,404,859,21,4,28,4,1,6,2,3,7,4,11,Suplacu de Barcău,Bihor,22.5020809,47.240798999999996,859,48.53,g5
2723,340,109,66,387,325,33,7,33,3,4,4,8,0,3,5,44,Supur,Satu Mare,22.769683800000003,47.4575691,387,28.23,g4
2724,327,282,53,13,879,37,6,59,6,4,4,6,3,5,15,8,Suraia,Vrancea,27.381854999999998,45.6706085,879,51.49,g5
2725,175,427,55,11,1058,32,4,90,6,5,7,7,5,7,20,34,Șura Mare,Sibiu,24.190143600000003,45.8805695,1058,54.45,g5
2726,77,303,37,12,757,68,4,34,4,2,3,2,5,11,3,19,Șura Mică,Sibiu,24.031206100000002,45.8330536,757,56.45,g5
2727,92,52,17,6,457,27,1,21,2,0,1,3,2,4,6,27,Surani,Prahova,26.1683121,45.191005700000005,457,63.65,g5
2728,155,77,631,5,132,191,12,32,2,1,2,0,0,1,6,2,Surdila-Găiseanca,Brăila,27.341377299999998,45.0627365,631,50.52,g3
